,0
BD,1437752
BE,28578960
BF,101888
BG,4421389
BA,825920
BB,177440
WF,4864
BL,4096
BM,123928
BN,209408
BO,1151808
BH,467968
BI,41136
BJ,169016
BT,35712
JM,219392
BV,1280
BW,146952
WS,22016
BQ,24576
BR,83884623
BS,143912
JE,56064
BY,1870608
BZ,178472
RU,46328280
RW,353168
RS,2270744
TL,16128
RE,409448
TM,24064
TJ,77960
RO,14294784
TK,4368
GW,10752
GU,219904
GT,615340
GS,1536
GR,5943862
GQ,22188
GP,139142
JP,203908252
GY,65032
GG,17984
GF,64008
GE,1217756
GD,16640
GB,124223982
GA,361240
GN,32528
GM,263176
GL,25600
GI,81208
GH,2241652
OM,923700
TN,6018648
JO,675804
HR,2379408
HT,167552
HU,5907628
HK,11978134
HN,530688
HM,1024
VE,6810920
PR,1055384
PS,666948
PW,9984
PT,6728294
KN,64944
PY,1129216
IQ,679360
PA,2013956
PF,128768
PG,64160
PE,3188644
PK,5395688
PH,5483388
PN,1280
PL,20883336
PM,5376
ZM,1106408
EH,1536
EE,2285624
EG,22838288
ZA,28827120
EC,2608788
IT,53799924
VN,15906730
SB,15872
EU,25534000
ET,366568
SO,42002
ZW,120832
SA,8815129
ES,31554911
ER,8720
ME,221024
MD,1361200
MG,173368
MF,11008
MA,10692955
MC,60720
UZ,250892
MM,142640
ML,82432
MO,334592
MN,231696
MH,8448
MK,700540
MU,1902700
MT,620700
MW,421088
MV,65792
MQ,1057280
MP,15616
MS,2568
MR,48408
IM,19640
UG,896472
MY,6696868
MX,28905802
IL,7681449
FR,95834795
AW,80128
SH,1280
AX,22528
SJ,1536
FI,13662718
FJ,147460
FK,3200
FM,12800
FO,44032
NI,410248
NL,47976563
NO,16244552
NA,463488
VU,21248
NC,165376
NE,45832
NF,3328
NG,2537694
NZ,6968832
NP,527816
NR,14592
NU,3328
CK,9728
CI,908296
CH,21463286
CO,17343498
CN,339237502
CM,719352
CL,10170476
CC,1536
CA,81070876
XA,847304576
CG,86280
CF,12456
CD,156978
CZ,8877038
CY,1092514
CX,1280
CS,150784
CR,2588612
CW,274944
CV,34304
CU,261632
SZ,51752
SY,1147164
SX,34304
KG,279048
KE,5452765
SR,82176
KI,8960
KH,310908
SV,662296
KM,9872
ST,13568
SK,2769954
KR,112575024
SI,2599028
KP,9472
KW,1964248
SN,383952
SM,35488
SL,57400
SC,7999272
KZ,3035376
KY,174344
SG,7478183
SE,27843492
SD,1348320
DO,1583696
DM,16392
DJ,54832
DK,13225200
VG,135030
DE,121816598
YE,140040
DZ,4799088
US,1615708342
UY,2441840
YT,17408
UM,1280
LB,601502
LC,23296
LA,77576
TV,12544
TW,35531924
TT,546048
TR,16513240
LK,550040
LI,99012
LV,1965900
TO,14080
LT,2690680
LU,1461964
LR,103216
LS,109440
TH,9074040
TF,1280
TG,317952
TD,25400
TC,11776
LY,380224
VA,17920
VC,30208
AE,3966288
AD,51332
AG,72224
AF,206292
AI,10260
VI,99072
IS,908964
IR,12305144
AM,623192
AL,377222
AO,1267976
AN,309248
AQ,8448
AP,4096
AS,6656
AR,19190316
AU,48679734
AT,11733344
IO,4352
IN,41698290
TZ,1051712
AZ,762120
IE,6620248
ID,18132716
UA,12719936
QA,842924
MZ,453632
