,Malware,Phishing,Exploits,Fraudlent Services,Unwanted Programs,Spammers,Unlabelled
BD,631,73,3,15,0,0,0
BE,3335,382,69,1064,95,0,0
BF,1,0,0,0,0,0,0
BG,10538,543,141,532,24,5,0
BA,2905,27,396,1712,0,16,0
BB,7,0,0,0,0,0,0
BM,19,0,0,0,0,0,0
BN,4,0,0,0,0,0,0
BO,2681,16,1,0,0,0,0
JP,7031,662,79,391,629,7,0
BI,108,0,0,0,0,0,0
BJ,1,0,0,0,0,0,0
BT,4,0,0,0,0,0,0
JM,68,0,0,0,0,0,0
JO,362,2,29,0,3,0,0
BR,49584,4691,332,1567,295,30,0
BS,8197,30,229,236,31,6,0
BY,3420,335,25,111,11,0,0
BZ,524,67,10,1293,0,1,0
RU,235166,17826,10874,66035,2169,1656,0
RW,8,2,0,0,0,0,0
RS,30270,215,33,1551,3,0,0
RE,4,0,0,0,0,0,0
TM,1,0,0,0,0,0,0
LR,159,0,0,0,0,0,0
RO,19507,1445,381,8538,141,35,0
GU,28,0,0,0,0,0,0
GT,1866,16,3,0,2,0,0
GR,1841,438,117,550,22,0,0
BH,57,8,0,0,0,0,0
GY,6,0,0,0,0,0,0
GE,3489,256,17,28,13,0,0
GD,3,0,0,0,0,0,0
GB,92118,15866,3945,15792,2489,180,0
GA,5,0,0,0,0,0,0
GM,45,18,0,0,0,0,0
GI,5,0,0,0,1,0,0
GH,86,0,0,10,0,0,0
OM,54,0,0,0,0,0,0
TN,376,36,4,11,0,0,0
BW,6,0,0,0,0,0,0
HR,281,219,24,52,0,0,0
HT,3,0,0,0,0,0,0
HU,15231,1360,388,449,632,5,0
HK,32248,4903,2092,5525,114,173,0
HN,63,8,2,2,0,0,0
VE,901,34,6,16,0,0,0
PR,343,6,0,2,0,0,0
PS,270,1,2,3,0,0,0
PT,4099,615,24,436,126,3,0
PY,261,2,0,0,0,0,0
AI,144,54,17,2,5,0,0
PA,3708,110,295,572,4,9,0
PF,8,0,5,0,0,0,0
PG,22,0,1,0,0,0,0
PE,154,28,2,5,10,2,0
PK,1119,174,12,14,0,0,0
PH,514,68,4,32,7,1,0
PL,54676,4355,538,7931,221,11,0
ZM,20,3,0,0,0,0,0
EE,2310,206,80,6069,48,3,0
EG,1137,14,335,27,0,2,0
ZA,5963,1012,81,522,70,0,0
EC,1200,7,4,4,4,0,0
AL,234,4,0,5,0,0,0
AO,4,0,0,4,0,0,0
ZZ,4950,1400,135,3116,215,32,0
KZ,4364,161,269,313,2,0,0
EU,23563,1945,702,1174,20,28,0
ET,18,1,0,0,0,0,0
ZW,21,10,0,0,0,0,0
KY,9,0,6,0,0,0,0
ES,62648,2785,2007,7754,332,14,0
ME,47,3,0,3,0,0,0
MD,10779,336,869,2344,11,23,0
MG,139,0,0,0,0,0,0
MF,1,0,0,0,0,0,0
MA,731,34,6,1,0,0,0
UZ,619,33,4,16,0,0,0
MM,9,5,0,0,0,0,0
ML,10,4,0,0,0,0,0
MO,321,5,2,0,0,0,0
MN,143,30,34,10,0,0,0
MH,14,0,0,0,0,0,0
US,38908052,1656115,100311,722285,797875,2629,0
MU,160,4,2,118,0,0,0
MT,304,4,2,195,2,0,0
MW,2,6,0,0,0,0,0
MV,30,0,0,0,0,0,0
MP,0,1,0,0,0,0,0
UK,25,0,4,0,0,0,0
NA,28926,12569,7175,13691,688,1,0
UG,9,3,0,0,0,0,0
UA,215401,12350,6111,7849,443,385,0
MX,5423,392,13,136,25,0,0
IL,8674,741,93,343,530,6,0
FR,1185669,35474,18792,26614,7658,121,0
AF,35,0,0,0,0,0,0
FI,998,237,21,568,34,1,0
FJ,193,0,12,0,0,0,0
NI,8,3,0,0,0,0,0
NL,343823,23138,7501,23377,7208,271,0
NO,1355,1804,15,171,80,0,0
VU,1,0,0,0,0,0,0
NC,29,0,4,0,0,0,0
NE,1,0,0,0,0,0,0
NG,850,9,10,0,0,0,0
NZ,922,145,26,165,7,2,0
NP,81,24,0,2,0,0,0
MR,2,0,0,0,0,0,0
XK,562,0,0,0,0,0,0
CI,39,32,0,2,0,0,0
CH,11609,620,87,879,127,0,0
CO,3521,90,14,27,10,1,0
CN,984788,315861,4670,8328,3038,249,0
CM,101,2,0,0,0,0,0
CL,7481,730,80,224,11,2,0
CA,39956,2751,1072,6746,901,36,0
CG,15,0,0,0,0,0,0
CD,1,0,0,4,0,0,0
CZ,69758,1862,2176,6309,530,99,0
CY,370,15,6,669,7,0,0
CS,2,0,0,0,0,0,0
CR,391,27,3,71,4,0,0
CW,200,1,1,1,9,0,0
CV,0,2,0,0,0,0,0
CU,6,0,0,0,0,0,0
SZ,6,0,0,0,0,0,0
SY,67,29,0,2,0,0,0
SX,2,0,0,0,0,0,0
KG,507,21,49,1367,2,0,0
KE,200,32,1,4,0,0,0
SR,2,3,0,0,0,0,0
KH,245,69,0,2,0,0,0
SV,46,15,0,4,0,0,0
KM,1,0,0,0,0,0,0
SK,25023,337,23,1059,101,2,0
KR,48595,4440,1906,1482,235,59,0
SI,594,218,8,409,6,0,0
SO,26,0,0,0,0,0,0
SN,42,0,0,1,0,0,0
SM,2,3,0,12,0,0,0
SC,54,1,2,33,0,0,0
KW,201,2,0,2,0,0,0
SA,838,23,12,384,31,0,0
SG,17888,6514,477,7489,1033,28,0
SE,139948,12658,468,3224,1016,3,0
SD,76,2,0,6,0,0,0
DO,112,4,0,10,0,2,0
DM,19,0,0,0,0,0,0
DJ,52,0,0,0,0,1,0
DK,6760,699,233,1721,329,3,0
DE,1295458,105387,9021,49257,13848,364,0
YE,22,0,4,0,0,0,0
DZ,405,162,7,5,0,0,0
MK,400,13,3,4,2,0,0
UY,221,30,0,0,0,0,0
LB,217,17,5,0,0,0,0
LA,32,2,2,2,0,0,0
TW,15656,1005,97,1914,51,2,0
TT,192,0,0,4,0,0,0
TR,30946,3876,1249,10578,66,24,0
LK,170,21,2,4,0,0,0
LI,11,0,0,0,3,0,0
LV,9579,464,2543,4247,53,65,0
LT,20665,8641,393,7022,67,14,0
LU,16048,625,5202,4345,42,11,0
TJ,6,2,0,0,0,0,0
LS,11,0,0,0,0,0,0
TH,7237,1515,157,3030,134,9,0
TD,3,0,0,0,0,0,0
TC,2,1,0,0,0,0,0
LY,165,6,0,0,0,0,0
VC,1,0,0,0,0,0,0
AE,1082,256,1035,148,9,0,0
AD,1121,0,1,0,0,0,0
AG,11,0,0,0,0,0,0
VG,165974,9176,10212,19952,1169,642,0
IQ,521,0,0,27,0,0,0
IS,1359,97,34,682,0,0,0
IR,5601,1012,109,255,48,1,0
AM,930,21,1,0,0,0,0
IT,140413,16987,1358,5023,954,40,0
VN,21340,1005,78,289,21,5,0
AN,1,0,0,0,0,0,0
AS,7,6,0,20,0,0,0
AR,9165,1013,136,306,28,1,0
AU,40144,5802,464,13972,515,16,0
AT,7897,485,309,1110,155,34,0
AW,2,0,0,0,0,0,0
IN,17166,1346,395,2876,138,13,0
TZ,41,4,0,0,0,0,0
AZ,2354,7,2228,452,0,0,0
IE,6063,323,52,844,32,1,0
ID,7643,1066,23,239,27,4,0
MY,10318,1416,184,1232,168,28,0
QA,96,0,0,2,4,0,0
MZ,22,4,0,1,0,0,0
