,Shannon Entropy,Entropy
,0.729728597041,31.2532752987
BE,0.623506287975,16.6209903349
BF,-0.0,-0.0
BG,0.404367229633,30.9877048763
BA,0.538748311995,21.073158496
BB,-0.0,-0.0
BM,-0.0,-0.0
BN,-0.0,-0.0
BO,0.128573527855,12.5417978287
JP,0.638930365386,25.0853846827
BI,-0.0,-0.0
BJ,-0.0,-0.0
BT,-0.0,-0.0
JM,-0.0,-0.0
JO,0.188194780206,18.5746370974
BR,0.422962268785,30.2800240004
BS,0.479578420812,27.2627739996
BY,0.505274637256,19.3623627904
BZ,0.356831961113,25.5210704545
RU,0.647319628043,24.2250986894
RW,0.279279910129,2.64385618977
RS,0.137983163597,34.8405176476
RE,-0.0,-0.0
TM,-0.0,-0.0
TJ,0.313845219895,2.41503749928
RO,0.567830577997,28.4079095127
GU,-0.0,-0.0
GT,0.0387606822779,26.044709853
GR,0.59651047409,17.8861395863
BH,0.208181428192,3.21184561189
GY,-0.0,-0.0
GE,0.489253364977,19.3286790813
GD,-0.0,-0.0
GB,0.673176496868,24.2037394986
GA,-0.0,-0.0
GM,0.333900614932,2.29278174923
KW,0.0614480257056,13.3734198361
GI,0.279279910129,2.64385618977
GH,0.187801858097,3.40839218564
OM,-0.0,-0.0
TN,0.204940097659,16.2580219027
--,0.75034458602,25.1354070663
BW,-0.0,-0.0
HR,0.604587788574,10.3537753908
HT,-0.0,-0.0
HU,0.436248130182,29.9052644897
HK,0.633140171532,25.4680588657
HN,0.325894098757,13.8836171521
AD,0.00399055182526,10.1331433584
PR,0.126485727838,11.1328942705
PS,0.0720194933366,21.6779057681
PT,0.529945211927,28.88028901
PY,0.0256653530756,7.00008945004
IQ,0.187069783394,3.41581796727
PA,0.386216104684,31.9138998461
PF,0.371857078954,2.07895134139
PG,0.0998152462919,4.58769229348
PE,0.525620326038,24.6601784951
PK,0.300520383133,16.015513038
PH,0.439621153561,28.7731682136
PL,0.414500530398,34.079138904
ZM,0.269331667261,2.71459778114
EE,0.40336973733,33.441173192
EG,0.38413043083,24.5145720287
ZA,0.503563364331,18.7876589557
EC,0.0615265722061,31.6517880345
AL,0.102610643139,11.5821446963
AO,0.381138270191,2.02974734339
ZZ,0.665690431702,24.714668455
EU,0.728267619493,24.4824466522
ET,0.313845219895,2.41503749928
ZW,0.355245321276,2.16992500144
SA,0.480885942897,20.1032376028
ES,0.464479799739,30.1636502907
ME,0.244232380631,8.40783219692
MD,0.462928426099,30.6789394146
MG,-0.0,-0.0
MF,-0.0,-0.0
MA,0.137662693433,20.9287561075
UZ,0.622247449192,10.1665863241
MM,0.363752262715,2.12285674779
ML,0.333900614932,2.29278174923
MO,0.157819968774,10.2324766487
MN,0.560631132404,10.4193881504
MH,-0.0,-0.0
US,0.728351110931,25.5456310861
MU,0.452260517747,14.8174561154
MT,0.442720490527,23.2251086314
MW,0.313845219895,2.41503749928
MV,-0.0,-0.0
MP,-0.0,-0.0
UK,0.223908325351,3.07210580048
MR,-0.0,-0.0
UG,0.313845219895,2.41503749928
MY,0.596816643757,25.168920554
MX,0.296349006385,23.9321000198
IL,0.631574359173,25.262204795
FR,0.778151436479,23.6968543995
A1,-0.0,-0.0
xx,0.0517455845659,13.9700617617
AF,-0.0,-0.0
FI,0.659630078868,27.3187922723
FJ,0.145464334923,3.89029408508
NI,0.355245321276,2.16992500144
NL,0.724475588474,23.1124517586
NO,0.525582235087,19.3016638894
unknown,0.663193608675,28.2141955769
VU,-0.0,-0.0
NC,0.206128739928,3.23080724359
NE,-0.0,-0.0
NG,0.0671591450789,13.0664649731
NZ,0.557436478359,27.3594719148
NP,0.346251402234,8.2995884556
XK,-0.0,-0.0
CI,0.450918046295,7.13318235808
CH,0.607924590726,16.5403068435
CO,0.141659173744,38.9653053327
CN,0.349961714639,32.644088871
CM,0.0565169707798,5.61533614976
CL,0.384811829971,33.6817607266
CA,0.655981173104,24.9627587581
CG,-0.0,-0.0
CD,0.279279910129,2.64385618977
CZ,0.374364176706,29.2472045832
CY,0.420636465391,22.871890396
CS,-0.0,-0.0
CR,0.40396534604,21.3239843113
CW,0.165019081033,27.0216200241
CV,-0.0,-0.0
CU,-0.0,-0.0
SZ,-0.0,-0.0
SY,0.39603479499,7.85158582987
SX,-0.0,-0.0
KG,0.307315378903,26.0758788188
KE,0.28536162834,16.8420347345
SR,0.375614963151,2.05889368905
KH,0.313436755386,9.86617984875
SV,0.518465582589,5.70633379961
SK,0.155207376215,42.5661337059
KR,0.594083759899,25.5041944731
SI,0.617784181799,19.799275633
SO,-0.0,-0.0
SN,0.0639959124939,5.39317591435
SM,0.4485770111,6.09246352231
SC,0.469418078623,13.7838866416
KZ,0.53706704526,20.3691737367
KY,0.375614963151,2.05889368905
SG,0.717586583922,25.3164729072
SE,0.644243819873,29.2650623929
SD,0.303770535229,7.84799690655
DO,0.462435154768,11.7823793479
DM,-0.0,-0.0
DJ,0.313845219895,2.41503749928
DK,0.651089487285,26.5193893893
DE,0.711286919319,24.3955933812
YE,0.239609740763,2.94144781764
DZ,0.415621376531,15.1019014348
MK,0.270755803895,22.200862485
UY,0.21373428596,3.16141350159
LB,0.199017221254,9.53165825536
LA,0.392888720309,12.1729290518
TW,0.441685496515,33.9285948941
TT,0.0602692609756,5.50058287253
TR,0.592746628736,30.2720083394
LK,0.303784568654,15.085374985
LI,0.289983029561,2.57031572476
LV,0.688225405516,24.3635819159
LT,0.609797052386,31.6775520444
LU,0.689420734404,28.2386528961
LR,-0.0,-0.0
LS,-0.0,-0.0
TH,0.626481319467,27.7116236624
TD,-0.0,-0.0
TC,0.355245321276,2.16992500144
LY,0.0848357792699,4.8844203148
VC,-0.0,-0.0
AE,0.654017241256,17.6674416509
VE,0.188495607927,17.1632388919
AG,-0.0,-0.0
VG,0.670998091791,22.994782958
AI,0.540362065673,18.4555936525
IS,0.533493469279,11.9446875735
IR,0.544851558816,29.924435409
AM,0.129645971418,12.8260644277
IT,0.627484774318,26.9838184664
VN,0.172771811769,40.3728714421
AS,-0.0,-0.0
AR,0.376509813063,34.5111921926
AU,0.634716589226,28.1816254725
AT,0.564429183499,23.7747874443
AW,-0.0,-0.0
IN,0.470662643985,29.7507800781
TZ,0.194686899572,3.33985000288
AZ,0.324048120886,14.4480716171
IE,0.610939619978,28.9865239705
ID,0.370670443974,34.2931352349
UA,0.398922661622,29.8714352626
QA,0.149131897686,10.3489110491
BD,0.346200557212,15.1031831676
MZ,0.448338624652,6.39874369194
